code,descriptor,address,phone,fax,mobile,email,companyid,tin,managerid,sectorid,seating,area,notes,mancost,id
ATC,ALABANG TOWN CENTER,"RESTAURANT ROW, ALABANG TOWN CENTER, MUNTINLUPA CITY", 0922.862-9321,,,,43B6B571673611E596ECDA40B3C0AA12,,,MS,245,0,31,,0BD0686A78A711E587FA00FF59FBB323
DCC,DASMARINAS COMM'L COMPLEX,"DASMARINAS COMM'L COMPLEX, GOVERNOR'S DRIVE COR E. AGUINALDO HIGHWAY, DASMARINAS CITY, CAVITE",046.424-1886,,0932.854-3051,,7E8F8AC3673611E596ECDA40B3C0AA12,,,MWC,270,0,25,,0BD4211E78A711E587FA00FF59FBB323
SOU,SM CITY SOUTHMALL,"UNIT 1150-1151 SM CITY SOUTHMALL, ALABANG-ZAPOTE RD, LAS PINAS CITY",511-1266,,0932.852-5224,,7E8F8AC3673611E596ECDA40B3C0AA12,,,MS,245,0,29,,0BD85D0778A711E587FA00FF59FBB323
MAR,MARKET MARKET,"FIESTA MARKET, MARKET! MARKET! MALL, BGC, TAGUIG CITY",856-3095,,0922.862-9316,,29E4E2FA672C11E596ECDA40B3C0AA12,,,MC,342,0,43,500,F8056E535D0B11E5ADBC00FF59FBB323
LAN,SM LANANG PREMIER,"LOC 2153 SKY GARDEN, SM LANANG PREMIER, J.P.LAUREL AVE, LANANG, BRGY. UBALDE, DAVAO CITY",082.321-2209,,0932.854-5225,,70F73EAD673611E596ECDA40B3C0AA12,,,VM,130,0,17,,0BDBCDA578A711E587FA00FF59FBB323
FER,SM DOWNTOWN SAN FERNANDO,"DOWNTOWN, CITY PROPER, SAN FERNANDO, PAMPANGA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,,120,0,0,,0BE0544D78A711E587FA00FF59FBB323
ROS,SM CITY STA. ROSA,"UNIT 1058-1059 G/F SM CITY STA. ROSA, TAGAPO, STA. ROSA CITY, LAGUNA",049.508-4392,,0923.747-3209,,43B6B571673611E596ECDA40B3C0AA12,,,SL,200,0,22,,0BE2A7E478A711E587FA00FF59FBB323
CAL,SM CITY CALAMBA,"UNIT 372-373 3/F SM CITY CALAMBA, BRGY. REAL, CALAMBA CITY, LAGUNA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,SL,80,0,15,,0BE3582E78A711E587FA00FF59FBB323
KCC,KCC VERANZA MALL,"G/F IL 102-104, VERANZA MALL OF KCC, J.CATOLICO AVE, LAGAO, GEN. SANTOS CITY",083.302-5301,,0933.441-0525,,70F73EAD673611E596ECDA40B3C0AA12,,,VM,132,0,18,,0BE6909778A711E587FA00FF59FBB323
CLK,SM CITY CLARK,"UNIT 130 SM CITY CLARK, M.A.ROXAS ST, MALABANIAS, ANGELES CITY, PAMPANGA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,78,0,14,,0BE8380F78A711E587FA00FF59FBB323
BAT,SM CITY BATANGAS,"2/F SM CITY BATANGAS, PASTOR AVE, BRGY PALLOCAN, BATANGAS CITY, BATANGAS",,,,,81D62659673611E596ECDA40B3C0AA12,,,SL,130,0,23,,0BEBD2DB78A711E587FA00FF59FBB323
TRI,TRINOMA,"Unit 1001 Trinoma Mall, L-M1, Edsa Cor North Ave., Quezon City, Metro Manila",0922.862-9314,,,,6A2F5687673611E596ECDA40B3C0AA12,,,MC,220,0,30,650,0BEED86278A711E587FA00FF59FBB323
FES,FESTIVAL MALL,"SPACE NO. 3061.2.1 & 3062.2.2, FESTIVAL SUPERMALL, ALABANG, MUNTINLUPA",850-4443,,0922.862-9319,,43B6B571673611E596ECDA40B3C0AA12,,,MS,200,0,28,,0BEF978578A711E587FA00FF59FBB323
ILO,SMALLVILLE ILOILO,"DOOR 4, SMALLVILLE BUSINESS CENTER, G.PISON AVE, BRGY. SAN RAFAEL, MANDURRIAO, ILOILO CITY",,,,,43B6B571673611E596ECDA40B3C0AA12,,,VM,120,0,10,,0BF039EB78A711E587FA00FF59FBB323
NOR,SM CITY NORTH EDSA,"UNIT F&B 07 SM CITY NORTH EDSA SKY GARDEN, NORTH AVE COR EDSA, QUEZON CITY",351.6963,,0933.928-1459,,43B6B571673611E596ECDA40B3C0AA12,,,MC,190,0,18,,0BF4F43678A711E587FA00FF59FBB323
ANG,MARQUEE MALL ANGELES,"2/F MARQUEE MALL, ANGELES CITY, PAMPANGA",045.304-0938,,0922.862-9312,,43B6B571673611E596ECDA40B3C0AA12,,,CL,120,0,11,,0BF74D8278A711E587FA00FF59FBB323
DAS,SM CITY DASMARINAS,"UNIT CO63 LGF SM CITY DASMARINAS, BRGY SAMPALOC 1, DASMARINAS CITY, CAVITE",,,,,7E8F8AC3673611E596ECDA40B3C0AA12,,,MWC,100,0,13,,0BF81A4378A711E587FA00FF59FBB323
LIP,ROBINSONS LIPA,"LEVEL 1, EXPANSION MALL, ROBINSONS PLACE LIPA, BATANGAS",043.757-6441,,0922.862-9302,,43B6B571673611E596ECDA40B3C0AA12,,,SL,160,0,22,,0BFB98FE78A711E587FA00FF59FBB323
