"code","descriptor","compcatid","cost","uom","active","id","created_at","updated_at"
"","13th Month Pay","3DB13DBA636311E5B83800FF59FBB323",999.99,"TRAN",0,"0611C759637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Marlboro Menthol 10","3E0380D3636311E5B83800FF59FBB323",17.40,"PACK",1,"06156841637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Lipton Ice tea 1L","3DC1FC28636311E5B83800FF59FBB323",114.29,"PACK",1,"0615D0AA637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Lipton tea","3DC1FC28636311E5B83800FF59FBB323",3.78,"SACHET",1,"06163FD0637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Mango Juice","3DC1FC28636311E5B83800FF59FBB323",2.92,"ORDER",1,"061B5CB3637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Mirinda","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN",1,"061BC1EB637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Mountain Dew","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN",1,"06229D04637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Mug","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN",1,"06232D26637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Nestle Lemonade 1k","3DC1FC28636311E5B83800FF59FBB323",0.00,"KG",1,"06261FD6637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:32"
"","Orange Juice","3DC1FC28636311E5B83800FF59FBB323",13.30,"ORDER",1,"0626943E637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:33"
"","Pepsi","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN",1,"062BFFD1637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:33"
"","Pepsi 500ml","3DC1FC28636311E5B83800FF59FBB323",19.83,"BOT",1,"062C796C637011E5B83800FF59FBB323","0000-00-00 00:00:00","2015-09-25 18:31:33"
