"employeeid","periodfrom","periodto","acadlvlid","school","course","remarks","id"
"7C971D1CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL GRAD., HOLY ROSARY ACADEMY","","","7D2031D8A7BC11E594AA00FF59FBB323"
"7D3C5B88A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, HRS, AISAT","","","7D422EC4A7BC11E594AA00FF59FBB323"
"7D48AAB5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, HRS, AISAT","","","7D4F80B0A7BC11E594AA00FF59FBB323"
"7D585AFEA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, AUTOMOTIVE, MIRIAM COLL E PROG","","","7D622E3BA7BC11E594AA00FF59FBB323"
"7D674B2FA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, COMMONWEALTH HS","","","7D6C92FCA7BC11E594AA00FF59FBB323"
"7D6F77A3A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL,HRM, AISAT","","","7D747F4FA7BC11E594AA00FF59FBB323"
"7D76A8E6A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, MABINAY NHS","","","7D78A4A5A7BC11E594AA00FF59FBB323"
"7D800B84A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, HRS, BESTLINK COLLEGE","","","7D819D7BA7BC11E594AA00FF59FBB323"
"7D89D18AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, HRM, CAPIZ STATE UNIVERSITY","","","7D8AD83FA7BC11E594AA00FF59FBB323"
"7D91FBEDA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS VOC. GRAD, HRM, RSC CABUTAN CAMPUS","","","7D93B0D2A7BC11E594AA00FF59FBB323"
"7D954C89A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COL, HRM, OUR LADY FATIMA","","","7D96350CA7BC11E594AA00FF59FBB323"
"7D973469A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, CAGBALETE ISLAND NATIOBAL HS","","","7D9C1C75A7BC11E594AA00FF59FBB323"
"7D9F8828A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS UNGRAD, BSEM, QC POLYTECHNIC UNIV.","","","7DA02FD0A7BC11E594AA00FF59FBB323"
"7DA199A0A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS GRAD, BS NURSING, OUR LADY OF FTIMA","","","7DA887C3A7BC11E594AA00FF59FBB323"
"7DB31D8DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COLL, BS MATH, COLUMBIAN COLL.","","","7DB448ADA7BC11E594AA00FF59FBB323"
"7DB7F1AEA7BC11E594AA00FF59FBB323","0000-00","0000-00","","20 DAYS VOC, BARISTA, TESDA","","","7DB9EB36A7BC11E594AA00FF59FBB323"
"7DBC0E2EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, HRM, PHILCST","","","7DC2EDD5A7BC11E594AA00FF59FBB323"
"7DCBBB32A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS GRAD, BSHRM, UNIVERSITY OF MANILA","","","7DD0E110A7BC11E594AA00FF59FBB323"
"7DD4A9C1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2ND YR, COMSCI, JOSE RIZAL UNIV.","","","7DDA36A4A7BC11E594AA00FF59FBB323"
"7DF6F196A7BC11E594AA00FF59FBB323","0000-00","0000-00","","H.S. GRAD., LIPA CITY NATIONAL HIGH SCHL","","","7DFB3754A7BC11E594AA00FF59FBB323"
"7E02C66BA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, MABALACAT NATIONAL HIGH SCHOOL","","","7E0452CEA7BC11E594AA00FF59FBB323"
"7E0C1FABA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL,BSHRM, DIPOLOG MEDICAL CENTER","","","7E0E97BDA7BC11E594AA00FF59FBB323"
"7E101D1AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, EPZA HS","","","7E11288AA7BC11E594AA00FF59FBB323"
"7E165C81A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, HOLY ANGEL UNIVERSITY","","","7E1C7676A7BC11E594AA00FF59FBB323"
"7E1DD23EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, OLONGAPO CITY NHS","","","7E1E7C78A7BC11E594AA00FF59FBB323"
