code,descriptor,sectorid,address,phone,mobile,companyid,seating,empcount,id
ATC,ALABANG TOWN CENTER,MS,"RESTAURANT ROW, ALABANG TOWN CENTER, MUNTINLUPA CITY", 0922.862-9321,,43B6B571673611E596ECDA40B3C0AA12,245,31,1
TRI,TRINOMA,MC,"Unit 1001 Trinoma Mall, L-M1, Edsa Cor North Ave., Quezon City, Metro Manila",0922.862-9314,,6A2F5687673611E596ECDA40B3C0AA12,220,30,2
BAG,BAGUIO CITY,CL,"7 LEGARDA RD, KISAD, BAGUIO CITY",074.619-2633,0922.862-9311,43B6B571673611E596ECDA40B3C0AA12,260,21,3
CEB,AYALA CENTER CEBU,VM,"3/F THE TERRACES, AYALA CENTER CEBU, AYALA BUSINESS PARK, CEBU CITY",,,43B6B571673611E596ECDA40B3C0AA12,180,22,4
TAG,ROBINSONS TAGAYTAY,MWC,"LEVEL 1 108, ROBINSONS SUMMIT RIDGE, TAGAYTAY CITY, CAVITE",046.483-0478,0922.862-9313,43B6B571673611E596ECDA40B3C0AA12,185,16,5
MOA,SM MALL OF ASIA,MWC,"BLDG. H, SM BY THE BAY, SM MALL OF ASIA COMPLEX, PASAY CITY",556-9791,0922.862-9315,29E4E2FA672C11E596ECDA40B3C0AA12,470,57,6
GAL,ROBINSONS GALLERIA,MC,"THE VERANDA, ROBINSONS GALLERIA, EDSA COR ORTIGAS AVE, QC",477-7614,0922.862-9309,70F73EAD673611E596ECDA40B3C0AA12,184,25,7
SUB,SUBIC,CL,"BLOCK 2 LOT 2, MOONBAY MARINA, WATERFRONT ROAD, SUBIC BAY FREEPORT ZONE",047.252-1488,0922.862-9307,74B1CBDC673611E596ECDA40B3C0AA12,200,11,8
AVE,A.VENUE MALL,MC,"G/F F111-F112, A.VENUE MALL, MAKATI AVE, MAKATI CITY",728-1107,0923.725-3193,29E4E2FA672C11E596ECDA40B3C0AA12,138,23,9
DCC,DASMARINAS COMM'L COMPLEX,MWC,"DASMARINAS COMM'L COMPLEX, GOVERNOR'S DRIVE COR E. AGUINALDO HIGHWAY, DASMARINAS CITY, CAVITE",046.424-1886,0932.854-3051,7E8F8AC3673611E596ECDA40B3C0AA12,270,25,10
SOU,SM CITY SOUTHMALL,MS,"UNIT 1150-1151 SM CITY SOUTHMALL, ALABANG-ZAPOTE RD, LAS PINAS CITY",511-1266,0932.852-5224,7E8F8AC3673611E596ECDA40B3C0AA12,245,29,11
MAR,MARKET MARKET,MC,"FIESTA MARKET, MARKET! MARKET! MALL, BGC, TAGUIG CITY",856-3095,0922.862-9316,29E4E2FA672C11E596ECDA40B3C0AA12,342,43,12
