descriptor,compcatid,cost,uom,active,id
13th Month Pay,13th Month,2980.83,TRAN,,1
Acoustic Band,Acoustic Band,1800,TRAN,,2
Annual Festivities,Annual Festivities,2900,TRAN,,3
Cash Advance,Cash Advance,500,TRAN,,4
Marlboro Black,Cigarettes,50.1,PACK,1,5
Marlboro Black 10's,Cigarettes,28.35,PACK,1,6
Marlboro Lights 10's,Cigarettes,27.8,PACK,1,7
Marlboro Lights Loc.,Cigarettes,53.6,PACK,1,8
Marlboro Menthol,Cigarettes,53.6,PACK,1,9
Marlboro Menthol 10,Cigarettes,17.4,PACK,1,10
Marlboro Red 10's,Cigarettes,27.8,PACK,1,11
Marlboro Red Local,Cigarettes,53.6,PACK,1,12
Philip Morris,Cigarettes,31,PACK,1,13
Cooking Oil,Cooking Oil,57.47,LT,1,14
Blueberry CheeseCake,Desserts,35,ORDER,1,15
Buko Pandan,Desserts,80,ORDER,1,16
Cheesecake,Desserts,35,ORDER,1,17
Leche Flan,Desserts,0,ORDER,1,18
Mango Float(Wle-smal,Desserts,22.9,ORDER,1,19
Oreo Cheesecake,Desserts,40,ORDER,1,20
Tiramisu,Desserts,36.11,ORDER,1,21
Beer Kettle,Drinks - Beer,25,BOT,1,22
Cerveza Negra,Drinks - Beer,32.33,BOT,1,23
Corona Beer,Drinks - Beer,65,BOT,1,24
Empties,Drinks - Beer,5,BOT,1,25
Empties Plastic,Drinks - Beer,0.2,PC,1,26
Hoegaarden,Drinks - Beer,75,BOT,1,27
Pale Pilsen,Drinks - Beer,25.42,BOT,1,28
Pale Pilsen October,Drinks - Beer,20.17,BOT,1,29
Red Horse,Drinks - Beer,21.88,BOT,1,30
Red Horse 1L,Drinks - Beer,0,BOT,1,31
Red Horse 500ml,Drinks - Beer,0,BOT,1,32
San Miguel Lights,Drinks - Beer,23.96,BOT,1,33
San Miguel Premium,Drinks - Beer,33.29,BOT,1,34
San Miguel Zero,Drinks - Beer,24.92,BOT,1,35
Sapporo Beer,Drinks - Beer,65,BOT,1,36
Stella Artois,Drinks - Beer,60,BOT,1,37
Strong Ice,Drinks - Beer,26.25,BOT,1,38
Super Dry,Drinks - Beer,32.46,BOT,1,39
Alcoholic Malt Apple,Drinks - Bottled (Alc),21.25,BOT,1,40
Alcoholic Malt Lemon,Drinks - Bottled (Alc),21.25,BOT,1,41
Gilbeys Premium,Drinks - Bottled (Alc),38,BOT,1,42
Tanduay Ice,Drinks - Bottled (Alc),18.75,BOT,1,43
Tanduay Ice Black,Drinks - Bottled (Alc),19.17,BOT,1,44
Tanduay Ice Blue,Drinks - Bottled (Alc),18.75,BOT,1,45
Tanduay Ice Magnum,Drinks - Bottled (Alc),8.75,BOT,1,46
Tanduay Ice Pink,Drinks - Bottled (Alc),18.75,BOT,1,47
Tanduay Ice Red,Drinks - Bottled (Alc),18.75,BOT,1,48
Tanduay Ice Yellow,Drinks - Bottled (Alc),18.75,BOT,1,49
Vodka Cruiser Blue.,Drinks - Bottled (Alc),50,BOT,1,50
Vodka Cruiser Rasp.,Drinks - Bottled (Alc),50,BOT,1,51
Vodka Ice,Drinks - Bottled (Alc),75,BOT,1,52
Apricot Brandy,Drinks - Brandy,5.4,SHOT,1,53
