code,descriptor,cperson,addr1,addr2,tel,fax,email,tin,branchid,id
253,999 COMPUTER HAUS,,"35 GEN. LUNA ST. TUKTUKAN,","TAGUIG, METRO MANILA",799-9002,,,911-510-315-000N,F8056E535D0B11E5ADBC00FF59FBB323,1
99,A.T.M. FRUIT CORNER,,"F-20 FIESTA, MARKET! MARKET!","GLOBAL CITY, TAGUIG CITY",,,,255-470-060-000N,F8056E535D0B11E5ADBC00FF59FBB323,2
5,ABENSON INC,,Fort Bonifacio Global City,,,,,000-050-036-046,F8056E535D0B11E5ADBC00FF59FBB323,3
142,ABSOLUTE SALES CORPORATION,,"CRISTOBAL ST., BRGY 662","ZONE 071 ERMITA, MANILA",,,,005-010-910-002V,F8056E535D0B11E5ADBC00FF59FBB323,4
64,ACE HARDWARE,,"BRD FLR, MARKET2 BONIFACIO",GLOBAL CIY TAGUIG,02 886-7694,,,200-035-311-020V,F8056E535D0B11E5ADBC00FF59FBB323,5
122,ACT'S PATEROS ENTERPRISES,,141M ALMEDA ST. SAN ROQUE,PATEROS METRO MANILA,641-5643,,,148-794-643-000,F8056E535D0B11E5ADBC00FF59FBB323,6
711,AFC CENTRAL OFFICE,,,,,,,205-257-440-000,F8056E535D0B11E5ADBC00FF59FBB323,7
254,AIROMA,,MARKET MARKET TAGUIG CITY,,,,,007-282-652-000V,F8056E535D0B11E5ADBC00FF59FBB323,8
206,ALABANG HOUSE,,AYALA ALABANG MUNTINLUPA CITY,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,9
146,ALBEA MKTG,,"24 V. LUZON EXT. SANGANDAAN 1,",QUEZON CITY,455-27-82,453-77-16,,185-105-550-000,F8056E535D0B11E5ADBC00FF59FBB323,10
ASA,ALBERT S. ALQUIROS,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,11
104,ALFE V. UBIAS,,"47 KALANTIAW ST.,BRGY MASAGANA",PROJ 4 QUEZON CITY,,,,126-696-972-000,F8056E535D0B11E5ADBC00FF59FBB323,12
92,ALL HOME CORP,,LEVI MARIANO AVENUE BRGY,USUSAN TAGUIG CITY,(02)994-9398,,,008-541-952-005,F8056E535D0B11E5ADBC00FF59FBB323,13
MOA,ALQUIROS FOOD CORPORATION,,H11-16 San Miguel By The Bay,SM Mall Of Asia Pasay City,556-9791,,,205-257-440-005,F8056E535D0B11E5ADBC00FF59FBB323,14
AVE,ALQUIROS FOOD CORPORATION,,G/F F11-F112/M-11-M112 Avenue,Mall Makati Ave. Makati City,728-1107,,,205-257-440-006,F8056E535D0B11E5ADBC00FF59FBB323,15
MAR,ALQUIROS FOOD CORPORATION,,G/F Market!Market! Fiesta,Fort Bonifacio Taguig Global,856-3095,0922-8629316,,205-257-440-004,F8056E535D0B11E5ADBC00FF59FBB323,16
91,AMERICAN BAZAAR,,3rd Level Metro Market!Market!,Fort Bonifacio Taguig City,,,,006-351-987-005,F8056E535D0B11E5ADBC00FF59FBB323,17
96,ANGEL FAMOUS GOURMET FOOD CORP,,"San Jose, Magalang, Pampanga",,,,,245-189-390-000,F8056E535D0B11E5ADBC00FF59FBB323,18
258,ARIEL VIRAY ENTERPRISES,,,SIGNL VILLAGE TAGUIG CITY,856-71-16,8370428,,111-319-619-000,F8056E535D0B11E5ADBC00FF59FBB323,19
34,AUGUSTINIAN FAMILY GROCERY,,TAGUIG CITY,,642-31-73,,,151-341-305-000,F8056E535D0B11E5ADBC00FF59FBB323,20
95,AUTOMATIC CENTER,,"S340-344 L3 MARKET MARKET,",BONIFACIO GLOBAL CITY TAGUIG,758-2552,,,000-107-881-028,F8056E535D0B11E5ADBC00FF59FBB323,21
1234,AUTOMATIC CENTRE,,MARKET MARKET BONIFACIO GLOBAL,CITY TAGUIG CITY,758-2552,,,000-107-881-028V,F8056E535D0B11E5ADBC00FF59FBB323,22
207,AVERY MANILA MARKETING CORP,,RM 310-B QUADSTAR BLDG.#80,ORTIGAS AVE.GREENHILLS SAN JUA,744-6220,744-6221/722-8594/5767707,,007-323-191-000V,F8056E535D0B11E5ADBC00FF59FBB323,23
106,BERMYKEL ENTERPRISES,,#65 SCOUT GANDIA BRGY.LAGING,HANDA QUEZON CITY,3714464,,,162-263-609-000V,F8056E535D0B11E5ADBC00FF59FBB323,24
125,BF ALABANG TRADING,,"202 NATIONAL ROAD, BAYANAN,",MUNTINLUPA CITY,,9087351128,,183-467-077-000V,F8056E535D0B11E5ADBC00FF59FBB323,25
226,BF FONTILLAS CONSTRUCTION CORP,,NATIONAL HIGH WAY ALABANG,MUN CITY,02 69-716-75,-,,0,F8056E535D0B11E5ADBC00FF59FBB323,26
73,BIR/PERMITS EXPENSES,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,27
63,BOOKFOOD INTERNATIONAL INC,,#17 SEVILLA AVE.VIRGINIA SUMME,RVILLE PHASE II ANTIPOLO CITY,6826066/6819434,,infodesk@bookfoodintl.com,008-121-211-000V,F8056E535D0B11E5ADBC00FF59FBB323,28
36,BOOZE ON-LINE INC,,869 DOMINGO ST.BRGY.KASILAWAN,MAKATI CITY,895-7179,890-6046,,212-260-171-000,F8056E535D0B11E5ADBC00FF59FBB323,29
87,BRANDED RETAIL STORES INC,,# 538 MRR Manggahan Pasig City,,,,,220-059-826-000,F8056E535D0B11E5ADBC00FF59FBB323,30
51,BREWMASTER INTERNATIONAL INC,,"1085 SANCIANGCO ST.,OTIS",PACO MANILA,,,,000-078-295-005V,F8056E535D0B11E5ADBC00FF59FBB323,31
76,CAPITAL RICE TRADING,,STALL 1&2 FIESTA MARKET MARKET,"BONIFACIO,GLOBAL CITY TAGUIG",886-7773,886-7792,,210-984-320-000,F8056E535D0B11E5ADBC00FF59FBB323,32
2,CARBO ICE INC,,27 Apollo st.Vista Verde Exec.,"Village, Cainta Rizal",714-3161,,,007-084-287-000,F8056E535D0B11E5ADBC00FF59FBB323,33
66,CAROLINES,,147.12 G/F MARKET!MARKET!,FORT BONIFACIO GLOBAL CITY,,,,104-128-397-001,F8056E535D0B11E5ADBC00FF59FBB323,34
312,CD-R KING,,4/F Market!Market!Bonifacio,Global City Taguig City 1630,,,,008-163-059-043,F8056E535D0B11E5ADBC00FF59FBB323,35
590,CECILLE'S VEGGIES,,190 K-4th Kamuning Quezon City,,0923-7127461,,,000-000-000-000,F8056E535D0B11E5ADBC00FF59FBB323,36
615,CENTRAL HOME FURNISHING INC,,QUIAPO MANILA,,733-6375,,,000-081-409-000,F8056E535D0B11E5ADBC00FF59FBB323,37
114,CHASE MEGA CORPORATION,,"LAKANDULA DRIVE, TAGAS",DARAGA ALBAY,,,,004-979-990-000,F8056E535D0B11E5ADBC00FF59FBB323,38
223,CITY TREASURER OF TAGUIG,,"GEN. ANTONIO LUNA STREET.,",TUKTUKAN TAGUIG CITY,(632) 555-7839,,,0,F8056E535D0B11E5ADBC00FF59FBB323,39
89,CLEANKING DISTRIBUTOR OUTLET,,,,,,,131-972-163-000,F8056E535D0B11E5ADBC00FF59FBB323,40
860,COLEMAN PRESTIGE SALES & SERVICE CENTER,,2ND LEVEL ALABANG TOWN CENTER,EXPANSION MALL ZAPOTE,,,,110-310-197-003V,F8056E535D0B11E5ADBC00FF59FBB323,41
105,COMMUNITY COMMERCIAL,,"186 C. PALANCA ST.,",QUIAPO MANILA,,,,208-115-677-000V,F8056E535D0B11E5ADBC00FF59FBB323,42
84,COTTON TOUCH ENTERPRISE,,G/F MARKET MARKET BONIFACIO,GLOBAL CITY TAGUIG CITY,758-2541,,,206-392-841-000,F8056E535D0B11E5ADBC00FF59FBB323,43
88,DAISO JAPAN,,TAGUIG CITY,,,,,007-079-853-008,F8056E535D0B11E5ADBC00FF59FBB323,44
57,DAISY T. SANCHEZ,,190-K-4TH KAMUNING QUEZON,CITY,9237127461,,,,F8056E535D0B11E5ADBC00FF59FBB323,45
444,DAN DE LIMOS,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,46
70,DESIGN 4U ENTERPRISES,EDISON L. LEE,MARKET MARKET BONIFACIO,GLOBAL CITY TAGUIG CITY,,,,196-788-639-001,F8056E535D0B11E5ADBC00FF59FBB323,47
1651,DIGITAL PARADISE INC,,G/F SUNTREE TOWER #27 SAPHIRE,"ROAD, ORTIGAS CENTER PASIG CIT",,,,219-621-613-178V,F8056E535D0B11E5ADBC00FF59FBB323,48
SUN,DIGITEL MOBILE PHILIPPINES INC,,29F GALLERIA CORPORATE CENTER,EDSA COR. ORTIGAS AVE.Q.C,,,,215-398-626-000V,F8056E535D0B11E5ADBC00FF59FBB323,49
