company,lessorid,code,tin,addr1,addr2,addr3,registered,tradename,pospermit,accreditation,telno1,telno2,email,id
"GILIGAN'S ISLAND BAGUIO, INC.",ALI,AFV,#006-070-024-008 VAT,GILIGAN'S FAIRVIEW,UNIT 2051 FAIRVIEW TERRACES,"QUIRINO HIGHWAY, NOVALICHES, QC","GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,0001-002-00003-000,040-205257440-000305,0923-2899432,0923-2899432,ccare@GILIGANSrestaurant.com,1
GILIGAN'S ISLAND,ALI,ANG,133-162-738-002,Marquee Mall,Nepo Avenues,"Angeles City, Pampanga",GILIGAN'S ISLAND,GILIGAN'S ISLAND RESTAURANT & BAR,0810-21A-76229-002,040-205257440-000305,304-0938,9228629312,ccare@GILIGANSrestaurant.com,2
"GILIGAN'S ISLAND BAGUIO,INC.",ARA,ARA,#006-070-024-006 VAT,GILIGAN'S ARANETA CENTER,GRD.FLR. MANHATTAN PARKWAY,"ARANETA CENTER, Q.C.","GILIGAN'S ISLAND BAGUIO,INC.","GILIGAN'S ISLAND BAGUIO,INC.",0314-040-183824-006,040-205257440-000305,9331456305,9331456305,ccare@GILIGANSrestaurant.com,3
GILIGAN'S ISLAND,ALI,ATC,199-013-974-001 VAT,ATC Theatre Drive,Alabang Town Center,Muntinlupa City,GILIGAN'S ISLAND,GILIGAN'S ISLAND RESTAURANT & BAR,1108-053-41749-001,040-205257440-000305,8508830,7728833,giligans_makati@yahoo.com.ph,4
GILIGAN'S ISLAND CORP,IND,AVE,#205-257-440-006 VAT,A.VENUE BRANCH,UNIT 111-112 A.VENUE MALL,B.VALDEZ ST.MAKATI AVE.,GILIGAN'S ISLAND CORP,ALQUIROS FOOD CORPORATION,0913-049-167367-006,040-205257440-000305,728-1107,9237253193,ccare@GILIGANSrestaurant.com,5
GILIGAN'S ISLAND,IND,BAG,#006-070-024-000 VAT,Giligan's Baguio,7 Legarda Road,Baguio City,"GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,1012-008-137798-000,040-205257440-000305,619-2634,619-2635,ccare@GILIGANSrestaurant.com,6
FJN6 FOOD CORP.,SMP,BAL,#006-070-024-000 VAT,GILIGAN'S SM BALIWAG,DONA REMEDIOS TRINIDAD HIGHWAY,"BRGY.PAGALA BALIWAG, BULACAN",FJN6 FOOD CORP.,FJN6 FOOD CORP.,0001-002-00003-000,040-205257440-000305,0923-7484230,9237484230,ccare@GILIGANSrestaurant.com,7
,SMP,BAT,#273-856-283-002 VAT,GILIGAN'S SM BATANGAS CITY,"PASTOR AVE, BRGY. PALLOCAN",BATANGAS CITY,"ALQUIROS, NATASHA CLAUDINE GARCIA",SHA-DINE-6 DINERS,1013-058-169293-002,040-205257440-000305,0933-928-1452,9339281452,ccare@GILIGANSrestaurant.com,8
GILIGAN'S ISLAND,SMP,CAL,#199-013-974-002 VAT,GILIGAN'S SM CALAMBA,NATIONAL HIWAY,"CALAMBA CITY, LAGUNA",FIJON-6 FOODS,GILIGAN'S ISLAND RESTAURANT & BAR,0000-000-00000-000,040-205257440-000305,0923-7473026,0923-7473026,ccare@GILIGANSrestaurant.com,9
GILIGAN'S ISLAND,ALI,CEB,#282-512-082-000 VAT,Level 3 - The Terraces,Ayala Business Center,Cebu City,GILIGAN'S ISLAND,GILIGAN'S ISLAND RESTAURANT & BAR,1209-081-62948-000,040-205257440-000305,417-1448,0922-8392992,ccare@giligansrestaurant.com,10
GILIGAN'S ISLAND,SMP,CLK,#133-162-738-006 VAT,GILIGAN'S SM CITY CLARK,"M.A. ROXAS HIWAY, BRGY. MALABANIAS","ANGELES CITY, PAMPANGA","ALQUIROS, FILIBERTO SAINZ",GILIGAN'S ISLAND RESTAURANT & BAR,1113-21A-175011-006,040-205257440-000305,9336761810,9336761810,ccare@GILIGANSrestaurant.com,11
FJN6 FOOD CORP.,SMP,CMC,#006-070-024-000 VAT,GILIGAN'S SM MEGACENTER,BETWEEN GEN.TINIO & MELENCIO STS.,"CABANATUAN CTY, NUEVA ECIJA",FJN6 FOOD CORP.,FJN6 FOOD CORP.,0001-002-00003-000,040-205257440-000305,0925-3018935,0925-3018935,ccare@GILIGANSrestaurant.com,12
GILIGAN'S ISLAND,SMP,DAS,167-669-791-002 VAT,GILIGAN'S SM CITY DASMARIAS,GOVERNOR'S DRIVE,"DASMARINAS CITY, CAVITE",ROSE FOUR DINERS,GILIGAN'S ISLAND RESTAURANT & BAR,1113-54A-174091-002,040-205257440-000305,9423904028,9423904028,ccare@GILIGANSrestaurant.com,13
GILIGAN'S ISLAND,OTH,DCC,#167-669-791-000 VAT,GILIGAN'S DASMARINAS,DASMARINAS COMM'L COMPLEX,"Governor Drive, Cavite",ROSE FOUR DINERS,GILIGAN'S ISLAND RESTAURANT & BAR,0312-54A-122848-000,040-205257440-000305,(046) 424-18-86,0932-854-3051,ccare@GILIGANSrestaurant.com,14
,ALI,DIS,#167-669-791-003 VAT,GILIGAN'S DISTRICT DASMARINAS,MOLINO-PALIPARAN ROAD,"DASMARINAS CITY, CAVITE","GARCIA, ELPIDIO GERONIMO II PHILLIPS",ROSE FOUR DINERS,FP072014-54A-0004278-00003,040-205257440-000305,9331013236,9331013236,ccare@GILIGANSrestaurant.com,15
GILIGAN'S ISLAND,FSI,FES,199-013-974-000-VAT#,"Festival SuperMall, Alabang","Level 3, Unit 3062/B1 3061","Festival Mall, Alabang, MC","ALQUIROS, JO-ANDREW GARCIA",GILIGAN'S ISLAND RESTAURANT & BAR,1207-053-25781-000,040-205257440-000305,850-4443,0922-8629319,ccare@giligansrestaurant.com,16
,RLC,GAL,#270-548-934-000,GILIGAN'S GALLERIA,Veranda Robinson's,"Ortigas cor. Edsa, Q.C.","ALQUIROS, NATHANAEL ANDREW GARCIA",NATHANAEL-6 FOODS,0111-04089104-000,040-205257440-000305,4777614,9228629309,ccare@GILIGANSrestaurant.com,17
,ALI,GLV,#232-360-252-001 VAT,GILIGAN'S Glorietta 5,"3RD Level, Glorietta 5","Ayala Center, Makati City","ALQUIROS, NICOLE IONE GARCIA",GILIGAN'S ISLAND RESTAURANT & BAR,0309-047-46161-001,040-205257440-000305,501-3058,9228629318,ccare@GILIGANSrestaurant.com,18
,ALI,GRN,#273-856-283-000 VAT,GILIGAN'S GREENBELT,"Greenbelt 1, Ayala Center","San Lorenzo, Makati City","ALQUIROS, NATASHA CLAUDINE GARCIA",GILIGAN'S ISLAND RESTAURANT & BAR,0509-047-49525-000,040-205257440-000305,892-1545,403-63-46,gi.ccare@gmail.com,19
FJN6 FOOD CORPORATION,IND,GTR,#008-880-161-000 VAT,GILIGAN'S GEN.TRIAS,"V-CENTRAL MALL, GOVERNOR'S DRIVE",GEN. TRIAS CAVITE,FJN6 FOOD CORPORATION,"GILIGAN'S ISLAND BAGUIO, INC.",0001-002-00003-000,040-205257440-000305,0923-2899128,0923-2899128,ccare@GILIGANSrestaurant.com,20
FJN6 FOOD CORP.,SMP,HFT,#006-070-024-000 VAT,GILIGAN'S HYPERMARKET FTI,"SM HYPERMARKET FTI, FTI COMPLEX","DBP AVENUE, TAGUIG CITY",FJN6 FOOD CORP.,FJN6 FOOD CORP.,0001-002-00003-000,040-205257440-000305,0933-0086137,0933-0086137,ccare@GILIGANSrestaurant.com,21
"GILIGAN'S BAGUIO, INC.",SMP,HRB,#006-070-024-013 VAT,GILIGAN'S ROSARIO,"UNIT 103 SM HYPERMARKET, ROSARIO","ROSARIO IBAAN ROAD, ROSARIO BATANGAS","GILIGAN'S BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,0001-002-00003-000,040-205257440-000305,0922-8629306,0922-8629306,ccare@GILIGANSrestaurant.com,22
FJN6 FOOD CORPORATION,SMP,HSL,#008-880-161-000 VAT,GILIGAN'S HYPERMART SUCAT-LOPEZ,DR.SANTOS AVE.,"SUCAT, PARANAQUE CITY",FJN6 FOOD CORPORATION,GILIGAN'S RESTAURANT,0001-002-00003-000,040-205257440-000305,0925-3018936,0925-3018936,ccare@GILIGANSrestaurant.com,23
"GILIGAN'S ISLAND BAGUIO, INC",IND,ILO,#006-070-024-007 VAT,GILIGAN'S ILOILO,SMALLVILLE COMPLEX,"MANDURRIAO, ILOILO CITY","GILIGAN'S ISLAND BAGUIO, INC","GILIGAN'S ISLAND BAGUIO, INC",FP072014-074-0004303-00007,040-205257440-000305,0942-8387964,0942-8387964,ccare@GILIGANSrestaurant.com,24
,OTH,KCC,#270-548-934-003 VAT,GILIGAN'S KCC GENSAN,"VERANZA, J.CATOLICO AVE.",GEN. SANTOS CITY,"ALQUIROS, NATHANAEL ANDREW GARCIA",NATHANAEL-6 FOODS,0813-110-164464-003,040-205257440-000305,(083)3025301,0933441-0525,ccare@GILIGANSrestaurant.com,25
