"code","descriptor","id"
"DC","Dining Crew","2862BBA2673B11E596ECDA40B3C0AA12"
"KC","Kitchen Crew","2DA8CBFE673B11E596ECDA40B3C0AA12"
"SKH","Senior Kitchen Head","4C97B1DD673B11E596ECDA40B3C0AA12"
"STC","Senior Technician","553820C0A47C11E592E000FF59FBB323"
"OIC","OIC Branch","55FC33F0A30211E592E000FF59FBB323"
"UTI","Utility","67B0F27F673B11E596ECDA40B3C0AA12"
"SCA","Senior Cashier","69427592A5E111E385D3C0188508F93C"
"COK","Kitchen Cook","6B46E349A47E11E592E000FF59FBB323"
"KO","OIC Kitchen","81BCB53BA3D711E592E000FF59FBB323"
"DA","Dining Assistant","8EF16963673A11E596ECDA40B3C0AA12"
"KS","Kitchen Supervisor","A7006EB7A3D411E592E000FF59FBB323"
"SBM","Senior Branch Manager","A7AECDD2666611E596ECDA40B3C0AA12"
"BM","Branch Manager","B0092A7B666611E596ECDA40B3C0AA12"
"DS","Dining Supervisor","B3622DDF666611E596ECDA40B3C0AA12"
"CAS","Cashier","B688FC60666611E596ECDA40B3C0AA12"
"KH","Kitchen Head","CD359BD0673A11E596ECDA40B3C0AA12"
"KA","Kitchen Assistant","D02091AB673A11E596ECDA40B3C0AA12"
"MT","Management Trainee","EC5ED785673A11E596ECDA40B3C0AA12"
"TEC","Technician","F55DA154A47B11E592E000FF59FBB323"
