"code","descriptor","ordinal","id"
"DC","Dining Crew",17,"2862BBA2673B11E596ECDA40B3C0AA12"
"KC","Kitchen Crew",18,"2DA8CBFE673B11E596ECDA40B3C0AA12"
"SKH","Senior Kitchen Head",10,"4C97B1DD673B11E596ECDA40B3C0AA12"
"STC","Senior Technician",23,"553820C0A47C11E592E000FF59FBB323"
"OIC","OIC Branch",14,"55FC33F0A30211E592E000FF59FBB323"
"UTI","Utility",19,"67B0F27F673B11E596ECDA40B3C0AA12"
"SCA","Senior Cashier",15,"69427592A5E111E385D3C0188508F93C"
"COK","Kitchen Cook",22,"6B46E349A47E11E592E000FF59FBB323"
"KO","OIC Kitchen",20,"81BCB53BA3D711E592E000FF59FBB323"
"DA","Dining Assistant",9,"8EF16963673A11E596ECDA40B3C0AA12"
"KS","Kitchen Supervisor",19,"A7006EB7A3D411E592E000FF59FBB323"
"SBM","Senior Branch Manager",6,"A7AECDD2666611E596ECDA40B3C0AA12"
"BM","Branch Manager",7,"B0092A7B666611E596ECDA40B3C0AA12"
"DS","Dining Supervisor",8,"B3622DDF666611E596ECDA40B3C0AA12"
"CAS","Cashier",16,"B688FC60666611E596ECDA40B3C0AA12"
"KH","Kitchen Head",11,"CD359BD0673A11E596ECDA40B3C0AA12"
"KA","Kitchen Assistant",12,"D02091AB673A11E596ECDA40B3C0AA12"
"MT","Management Trainee",13,"EC5ED785673A11E596ECDA40B3C0AA12"
"TEC","Technician",21,"F55DA154A47B11E592E000FF59FBB323"
