ITEM,SUPPLIER,BRANCH,AMOUNT,CLASS,ASSIGNED
Refrigerator 5.6cu. Condura CS 171SA ,Beth Burgos,AFC,20000,1,1
"LED TV 24"" Haier",Tropical Isle,AFC,13000,1,12
DVD Home Entertainment System Samsung,Bookfood International,AFC,12000,1,1
Refrigerator 7cu.,Albert Alquiros,AFC,10000,1,4
"LED TV 32"" TCL",Bookfood International,AFC,10000,1,1
Washing Machine Sharp Gigawash,Beth Burgos,AFC,8000,1,1
"LED TV 32"" Promac LED-H3282M",Eric Manaog,AFC,8000,1,2
"LED TV 28"" Prestiz",Randy Garcia,AFC,8000,1,2
Microwave Oven,Albert Alquiros,AFC,5000,1,3
Microwave Oven American Home AMW-22 20L,Bookfood International,AFC,5000,1,1
Microwave Oven American Home AMN-25,Neo-Pro Enterprise,AFC,5000,1,1
Washing Machine Single Tub Hanabishi HWM-162,Tebeemini Corporation,AFC,5000,1,1
Electric Oven Hanabishi HEO-32SS 32L,Bookfood International,AFC,3500,1,1
Washing Machine 7.8kg Eureka EWM-780S,Eric Manaog,AFC,3500,1,2
Washing Machine Single Tub Fujidenzo JW-S680,Beth Burgos,AFC,3400,1,1
Washing Machine ,Albert Alquiros,AFC,3000,1,2
"Tablet 8"" Insignia Flex",Metro North Gas,MOR,3000,1,1
Washing Machine GigaWash Jr. Sharp,Neo-Pro Enterprise,AFC,3000,1,1
Washing Machine,Tropical Isle,AFC,3000,1,1
"Fan Stand Industrial Mitsutech 16""",Beth Burgos,AFC,2000,1,3
"Fan Stand 16"" Union UGSF-1635R",Eric Manaog,AFC,2000,1,5
Hot Warm & Cold Water Dispenser Micromatic,Green Air Kitchen,AFC,2000,1,1
Multi-Purpose Cooker 8in1 Garant GMC 8in1,Neo-Pro Enterprise,AFC,2000,1,1
Ice Box 30L Orocan,RT'S Meatshop,GTR,1700,1,1
"Fan Desk 16"" Union",MS Dedal Printing,AFC,1500,1,2
"Cash P1,500",Virginia Javier,CMC,1500,1,1
"Cash P1,500",Virginia Javier,CAB,1500,1,1
Blender Eureka EEB-1.25L,Sonza Trading,AFC,1300,1,1
"Fan Industrial 16""  MISF-16 Mitsutech",Beth Burgos,MUN,1200,1,1
"Fan Stand 18"" Nikon CSF-1609C",Dimax,MOR,1200,1,1
"Fan Stand 18"" Fukuda SF-18ASB",Yellow Cab,MIL,1200,1,1
Gas Stove Double Burner Hanabishi,,SUB,1200,1,1
Fan Stand Camel CSF-1609C,Dimax,GRN,1100,1,1
Rice 25kg,Anonuevo,MIL,1000,1,1
Rice Cooker Hanabishi 1.5L HHRC-15HYP,Beth Burgos,AFC,1000,1,2
"Fan Desk 16"" Fukuda",Gatch Tan Rice,ATC,1000,1,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,MAR,1000,1,1
Flat Iron Camel CFI-1010,Gatch Tan Rice,BAL,1000,1,1
Rice Cooker Asahi,MS Dedal Printing,AFC,1000,1,1
Rice Cooker Garant GRC-108,Neo-Pro Enterprise,AFC,1000,1,2
Fan Box Kyowa KW-6900,New Sin Kian Heng,AFC,1000,1,1
Flat Iron Standard SAI-1002B,New Sin Kian Heng,AFC,1000,1,1
Rice Cooker Carribean CAR-180S,New Sin Kian Heng,AFC,1000,1,1
Grocery Pack,Office,AFC,1000,1,2
"Fan Desk 16"" Fukuda",Rheign Daryl Enterprise,CAV,1000,1,4
Cellphone O+ 2.32 Music,RKMI,GRN,1000,1,1
Cellphone O+ 2.32 Music,RKMI,SLE,1000,1,1
Cellphone O+ 2.32 Music,RKMI,MOR,1000,1,1
