code,descriptor,cperson,addr1,addr2,tel,fax,email,tin,branchid,id
ABE,ABENSON VENTURES INC,,G/F AYALE FAIRVIEW TERRACES,,,,,004-149-434-117V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A4FB6FD5D1611E5ADBC00FF59FBB323
ACE,ACE HARDWARE PHILIPPINES INC,,G/F SM CITY FAIRVIEW ANNEX,QUIRINO H.WAY COR REGALADO Q.C,938-9011/13,,,200-036-311-002V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A5295845D1611E5ADBC00FF59FBB323
711,AFC CENTRAL OFFICE,,,,,,,205-257-440-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A539DE85D1611E5ADBC00FF59FBB323
ASA,ALBERT S. ALQUIROS,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A55BDDC5D1611E5ADBC00FF59FBB323
ALB,ALBERT TOLENTINO,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A5675D45D1611E5ADBC00FF59FBB323
SLE,ALQUIROS NATHANAEL ANDREW GARCIA,,GRD. LEVEL IL CENTRO STA LUCIA,"EAST MALL, CAINTA",,,,270-548-934-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A571CA85D1611E5ADBC00FF59FBB323
59,ARCTIC ZONE TUBE ICE CORPORATION,,"7756 PITONG BAHAY ST,MALIGAYA","SUBD.,CALOOCAN CITY",,,,007-793-067-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A57BBC45D1611E5ADBC00FF59FBB323
AMM,AVERY MANILA MARKETING CORP,,"#80 ORTIGAS AVE.,GREENHILLS",SAN JUAN CITY,,,,007-323-191-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A596E295D1611E5ADBC00FF59FBB323
43,BLADE ASIA INC,,G/F FAIRVIEW TERRACES QUIRINO,"HIWAY,PASONG PUTIK NOVA.QC",,,,232-721-268-043V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A5B79505D1611E5ADBC00FF59FBB323
62,BOOKFOOD INTERNATIONAL INC,,#17SEVILLA AVE.VIRGINIA SUMMER,"VILLE PHSE II,MAYAMOT ANTIPOLO",682-60-66,,,008-121-211-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A5D31E55D1611E5ADBC00FF59FBB323
BRW,BREWMASTER INTERNATIONAL INC,,"1085 SANCIANGCO ST.,OTIS",PACO MANILA,,,,000-078-295-005V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A5DD3A35D1611E5ADBC00FF59FBB323
BIR,BUREAU OF INTERNAL REVENUE 2000,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A6025035D1611E5ADBC00FF59FBB323
CDR,CD-R KING GEN. MERCHANDISE,,LEVEL 3 FAIRVIEW TERRACES,"QUIRINO HWAY, NOVA.,QC",,,,008-462-663-007V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A6550DC5D1611E5ADBC00FF59FBB323
BRT,CITY TREASURER OF QUEZON CITY,,QUEZON CITY,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A69C9425D1611E5ADBC00FF59FBB323
CJO,CJO COPYTRADE BRANCH,,"101 SM CITY FAIRVIEW ANNEX,","QUIRINO HIWAY,REGALADO AVE,QC",,,,117-157-716-072V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A6B0A4F5D1611E5ADBC00FF59FBB323
VCS,COMPUTER SYSTEMS WEST INC,,QC,,,,,005-249-453-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A6C15755D1611E5ADBC00FF59FBB323
COP,COPY TRADE,,SM FAIRVIEW,,,,,117-157-716-063V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A6F03F95D1611E5ADBC00FF59FBB323
SUN,DIGITEL MOBILE PHILIPPINES INC,,29F GALLERIA CORPORATE CENTER,"EDSA,COR ORTIGAS AVE,Q.C.",,,,215-398-626-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A73CE3D5D1611E5ADBC00FF59FBB323
52,DON JUAN HOUSEWARE COLLECTION,,"#60 CAIMITO RD.,BRGY 79 ZONE 7","DIST. I,CALOOCAN CITY",366-4445,,,405-439-473-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A74E80F5D1611E5ADBC00FF59FBB323
