"employeeid","periodfrom","periodto","company","position","remarks","id"
"7C971D1CA7BC11E594AA00FF59FBB323","0000-00","0000-00","MCDONALD, RIDER, 4YRS.","","","7D3171ADA7BC11E594AA00FF59FBB323"
"7D48AAB5A7BC11E594AA00FF59FBB323","0000-00","0000-00","SM NOVA, CASHIER, 7MOS","","","7D503AAEA7BC11E594AA00FF59FBB323"
"7D585AFEA7BC11E594AA00FF59FBB323","0000-00","0000-00","MARIAS EATERY, COOK, 1YR","","","7D641A63A7BC11E594AA00FF59FBB323"
"7D674B2FA7BC11E594AA00FF59FBB323","0000-00","0000-00","DESSERT PLUS, SERVICE CREW, 6MOS","","","7D6D4898A7BC11E594AA00FF59FBB323"
"7D76A8E6A7BC11E594AA00FF59FBB323","0000-00","0000-00","BINOOK CHINESE RESTAURANT, SERVICE CREW,","","","7D7E21FDA7BC11E594AA00FF59FBB323"
"7D76A8E6A7BC11E594AA00FF59FBB323","0000-00","0000-00","2YRS","","","7D7E4287A7BC11E594AA00FF59FBB323"
"7D9F8828A7BC11E594AA00FF59FBB323","0000-00","0000-00","JONSON MANUFACTURER, MACHINE OPERATOR,","","","7DA0846CA7BC11E594AA00FF59FBB323"
"7D9F8828A7BC11E594AA00FF59FBB323","0000-00","0000-00","1YR","","","7DA097FDA7BC11E594AA00FF59FBB323"
"7DA199A0A7BC11E594AA00FF59FBB323","0000-00","0000-00","JOLLIBEE, PANTRY, 5MOS.","","","7DA8CDD7A7BC11E594AA00FF59FBB323"
"7DA199A0A7BC11E594AA00FF59FBB323","0000-00","0000-00","SM APPLIANCE, COUNTER ASST.TRAINEE, 2MOS","","","7DA8D8A6A7BC11E594AA00FF59FBB323"
"7DA199A0A7BC11E594AA00FF59FBB323","0000-00","0000-00","DAIRY QUEEN CASHIER 8MOS.","","","7DA8E327A7BC11E594AA00FF59FBB323"
"7DB31D8DA7BC11E594AA00FF59FBB323","0000-00","0000-00","COSTA CROCIERE, 2ND COOK, 4YRS","","","7DB527A1A7BC11E594AA00FF59FBB323"
"7DBC0E2EA7BC11E594AA00FF59FBB323","0000-00","0000-00","SM, BAGGER, 5MOS.","","","7DC48538A7BC11E594AA00FF59FBB323"
"7DCBBB32A7BC11E594AA00FF59FBB323","0000-00","0000-00","KOWLOON HOUSE RESTAURANT, WAITER, 2YRS","","","7DD3447FA7BC11E594AA00FF59FBB323"
"7DD4A9C1A7BC11E594AA00FF59FBB323","0000-00","0000-00","DELI FRANCE, SERVICE CREW, 3MOS","","","7DDB23C9A7BC11E594AA00FF59FBB323"
"7DF6F196A7BC11E594AA00FF59FBB323","0000-00","0000-00","TIMEZONE, CSA, 4 MOS.","","","7DFBD327A7BC11E594AA00FF59FBB323"
"7E02C66BA7BC11E594AA00FF59FBB323","0000-00","0000-00","ONA(PHARMACY), ATTENDANT, 6MOS","","","7E09CB80A7BC11E594AA00FF59FBB323"
"7E0C1FABA7BC11E594AA00FF59FBB323","0000-00","0000-00","FREELANCE SINGER","","","7E0F09A9A7BC11E594AA00FF59FBB323"
"7E101D1AA7BC11E594AA00FF59FBB323","0000-00","0000-00","TIME ZONE, CUSTOM, 6MOS","","","7E1199B6A7BC11E594AA00FF59FBB323"
"7E165C81A7BC11E594AA00FF59FBB323","0000-00","0000-00","MANOKAN, KITCHEN CREW, 9MOS","","","7E1CCDB3A7BC11E594AA00FF59FBB323"
"7E2704D4A7BC11E594AA00FF59FBB323","0000-00","0000-00","COMELEC, ENCODER, 1YR","","","7E287304A7BC11E594AA00FF59FBB323"
"7E2704D4A7BC11E594AA00FF59FBB323","0000-00","0000-00","DILG, 6MOS","","","7E28869DA7BC11E594AA00FF59FBB323"
"7E7D496BA7BC11E594AA00FF59FBB323","0000-00","0000-00","BUGSY RESTO-BAR, UTILITY COOK, 2YRS","","","7E7F0BA3A7BC11E594AA00FF59FBB323"
"7E83FC27A7BC11E594AA00FF59FBB323","0000-00","0000-00","ELVIGAN FOOD CORNER, ASST.COOK, 5MOS","","","7E8506F7A7BC11E594AA00FF59FBB323"
"7E85C664A7BC11E594AA00FF59FBB323","0000-00","0000-00","SEA PALACE, WAITRESS, 3YRS","","","7E8A67E5A7BC11E594AA00FF59FBB323"
"7E8CEA4FA7BC11E594AA00FF59FBB323","0000-00","0000-00","MARCELO AUTO REPAIR SHOPE, HELPER","","","7E90F899A7BC11E594AA00FF59FBB323"
"7E8CEA4FA7BC11E594AA00FF59FBB323","0000-00","0000-00","MECHANIC, 1YR","","","7E910892A7BC11E594AA00FF59FBB323"
"7E94C721A7BC11E594AA00FF59FBB323","0000-00","0000-00","MRS. URIATE, FAMILY COOK, 7YRS","","","7E98C13FA7BC11E594AA00FF59FBB323"
"7E99A4E1A7BC11E594AA00FF59FBB323","0000-00","0000-00","JOVEN'S RESORT CAGBALETE ISLAND, WAITER,","","","7E9A9772A7BC11E594AA00FF59FBB323"
"7E99A4E1A7BC11E594AA00FF59FBB323","0000-00","0000-00","4MOS","","","7E9AA25AA7BC11E594AA00FF59FBB323"
"7E99A4E1A7BC11E594AA00FF59FBB323","0000-00","0000-00","MANG INASAL, WAITER, 4MOS","","","7E9AACF3A7BC11E594AA00FF59FBB323"
"7E9B797BA7BC11E594AA00FF59FBB323","0000-00","0000-00","MARCO POLO HOTEL, SERVER, 7MOS","","","7EA192F4A7BC11E594AA00FF59FBB323"
"7EA29C36A7BC11E594AA00FF59FBB323","0000-00","0000-00","AIM CONFERRANCE CENTER, HOUSE KEEPING,","","","7EA3BFCDA7BC11E594AA00FF59FBB323"
"7EA29C36A7BC11E594AA00FF59FBB323","0000-00","0000-00","2MOS","","","7EA3D08FA7BC11E594AA00FF59FBB323"
"7EA9B492A7BC11E594AA00FF59FBB323","0000-00","0000-00","GRILLMARKS RESTO BAR, SERVER, 2MOS.","","","7EAADD4EA7BC11E594AA00FF59FBB323"
"7EAE3BA5A7BC11E594AA00FF59FBB323","0000-00","0000-00","SM SUPERMARKET, BAGGER, 1YR","","","7EAF8F54A7BC11E594AA00FF59FBB323"
"7EBA3EBEA7BC11E594AA00FF59FBB323","0000-00","0000-00","ANTAKYA BAR & GRILL, BARTENDER, 8YRS","","","7EC084B0A7BC11E594AA00FF59FBB323"
"7EC2FBD5A7BC11E594AA00FF59FBB323","0000-00","0000-00","AMKOR, PRODUCTION OPERATOR, 2YRS","","","7EC9AB4FA7BC11E594AA00FF59FBB323"
"7ECA6115A7BC11E594AA00FF59FBB323","0000-00","0000-00","JOLIBEE, CREW, 6MOS","","","7ECB6C1FA7BC11E594AA00FF59FBB323"
"7ECC3063A7BC11E594AA00FF59FBB323","0000-00","0000-00","EMPEROR CHINESE CUISIN, RECEPTIONIST,","","","7ED120AEA7BC11E594AA00FF59FBB323"
"7ECC3063A7BC11E594AA00FF59FBB323","0000-00","0000-00","6MOS","","","7ED13058A7BC11E594AA00FF59FBB323"
"7ED38A18A7BC11E594AA00FF59FBB323","0000-00","0000-00","JBC CORP. OPERATOR, 3MOS","","","7ED464EDA7BC11E594AA00FF59FBB323"
"7ED69622A7BC11E594AA00FF59FBB323","0000-00","0000-00","GLORIA AND HER BAND, SOUND TECH. 11YRS","","","7ED7BABCA7BC11E594AA00FF59FBB323"
